Bolid{tempEngine=98.48636016682237, tirePressure=21.84475966607589, oilPressure=333.1337179708551}
Bolid{tempEngine=100.0511947121314, tirePressure=20.03606769642869, oilPressure=401.7232474892647}
Bolid{tempEngine=101.73713775141279, tirePressure=19.43115957824159, oilPressure=372.7578786019924}
Bolid{tempEngine=94.72819390970434, tirePressure=22.001937069879432, oilPressure=212.392907118077}
Bolid{tempEngine=100.18896622625529, tirePressure=21.303969747938847, oilPressure=340.53143337243114}
Bolid{tempEngine=96.91925389690655, tirePressure=21.503970799999557, oilPressure=231.76830637429788}
Bolid{tempEngine=91.15016234430325, tirePressure=19.288962673941946, oilPressure=223.65092650750978}
Bolid{tempEngine=103.29886506605659, tirePressure=23.175485367154074, oilPressure=333.21306180097264}
Bolid{tempEngine=95.31575242346224, tirePressure=21.10431031477569, oilPressure=245.04697853087913}
Bolid{tempEngine=93.14694323760193, tirePressure=19.623086068233054, oilPressure=315.1150562600211}
Bolid{tempEngine=102.72757498356718, tirePressure=20.323180196887517, oilPressure=380.99390104754013}
Bolid{tempEngine=97.0506890309161, tirePressure=19.18519738244586, oilPressure=288.24937847907484}
Bolid{tempEngine=92.53449682268192, tirePressure=23.926780642501797, oilPressure=303.90790784461217}
Bolid{tempEngine=100.50338010332254, tirePressure=22.56036778996598, oilPressure=355.79519075917125}
Bolid{tempEngine=91.76668010370743, tirePressure=20.18820889849065, oilPressure=234.0772754474913}
Bolid{tempEngine=98.86104546412837, tirePressure=23.03529292318724, oilPressure=320.22872770993536}
Bolid{tempEngine=101.4135910045594, tirePressure=22.16993303202363, oilPressure=233.68621656226708}
Bolid{tempEngine=96.2950570689347, tirePressure=22.485890177213573, oilPressure=355.0543770860447}
Bolid{tempEngine=101.18420396833136, tirePressure=22.820834589597286, oilPressure=223.70768633481174}
Bolid{tempEngine=91.53425769838792, tirePressure=21.780774796482174, oilPressure=241.25623051935455}
Bolid{tempEngine=96.54061663507902, tirePressure=21.039672149377427, oilPressure=270.65024833102177}
Bolid{tempEngine=99.38736102590073, tirePressure=23.78627497922006, oilPressure=193.42750155441973}
Bolid{tempEngine=102.94305532341745, tirePressure=21.900976501245594, oilPressure=325.0025215824302}
Bolid{tempEngine=93.48777698097825, tirePressure=20.539387437795263, oilPressure=281.11928772291583}
Bolid{tempEngine=101.11050537127855, tirePressure=23.36502234394074, oilPressure=383.73274493095886}
Bolid{tempEngine=94.33016057865984, tirePressure=20.965541022540908, oilPressure=247.48603357396962}
Bolid{tempEngine=96.76708913850896, tirePressure=21.491296300246532, oilPressure=379.58879126703016}
Bolid{tempEngine=95.94440664953785, tirePressure=23.996968176889293, oilPressure=403.6077401441474}
Bolid{tempEngine=103.23506149495722, tirePressure=21.379972249243398, oilPressure=207.81965721649897}
Bolid{tempEngine=97.35691539071543, tirePressure=22.181721944916337, oilPressure=392.0668586332765}
Bolid{tempEngine=100.39701087331989, tirePressure=23.38445509617464, oilPressure=321.49257086952025}
Bolid{tempEngine=98.18191700525753, tirePressure=22.76854189896575, oilPressure=375.0192232249804}
Bolid{tempEngine=100.6208505756223, tirePressure=19.192238916994974, oilPressure=206.52036504606008}
Bolid{tempEngine=96.23570317091037, tirePressure=19.631266129303505, oilPressure=304.4226022799198}
Bolid{tempEngine=98.0627481106925, tirePressure=20.41715532511882, oilPressure=318.49100304020493}
Bolid{tempEngine=100.61236827674742, tirePressure=19.208518599173765, oilPressure=404.6292487410005}
Bolid{tempEngine=98.86465360684676, tirePressure=20.73218154632425, oilPressure=198.9095000989374}
Bolid{tempEngine=96.49609262663057, tirePressure=20.439536598112383, oilPressure=281.67711939782424}
Bolid{tempEngine=90.56322786132385, tirePressure=21.894182553632977, oilPressure=208.15237639749785}
Bolid{tempEngine=97.53556663225096, tirePressure=23.209380346224243, oilPressure=225.61442889756134}
Bolid{tempEngine=94.2549393885013, tirePressure=20.452736357448636, oilPressure=391.8785900232247}
Bolid{tempEngine=94.51622530947283, tirePressure=20.43996190611155, oilPressure=401.2269382232764}
Bolid{tempEngine=95.74154666852888, tirePressure=19.876680814342194, oilPressure=298.2095229027074}
Bolid{tempEngine=91.2999216457362, tirePressure=23.104925326970847, oilPressure=206.8302720335053}
Bolid{tempEngine=91.97294809483503, tirePressure=23.922438743170378, oilPressure=234.7654860667148}
Bolid{tempEngine=90.72755153067601, tirePressure=19.796233038504074, oilPressure=208.9695607442501}
Bolid{tempEngine=95.89175015164928, tirePressure=22.642350966714975, oilPressure=315.8214954196037}
Bolid{tempEngine=102.64010058916723, tirePressure=22.787032259547214, oilPressure=314.8098804567885}
