Race{actualTime=286, actualLap=5}
Race{actualTime=301, actualLap=6}
Race{actualTime=316, actualLap=6}
Race{actualTime=1, actualLap=1}
Race{actualTime=1, actualLap=1}
Race{actualTime=17, actualLap=1}
Race{actualTime=32, actualLap=1}
Race{actualTime=47, actualLap=1}
Race{actualTime=62, actualLap=2}
Race{actualTime=77, actualLap=2}
Race{actualTime=92, actualLap=2}
Race{actualTime=107, actualLap=2}
Race{actualTime=137, actualLap=3}
Race{actualTime=152, actualLap=3}
Race{actualTime=167, actualLap=3}
Race{actualTime=182, actualLap=4}
Race{actualTime=0, actualLap=1}
Race{actualTime=16, actualLap=1}
Race{actualTime=1, actualLap=1}
Race{actualTime=17, actualLap=1}
Race{actualTime=32, actualLap=1}
Race{actualTime=47, actualLap=1}
Race{actualTime=62, actualLap=2}
Race{actualTime=77, actualLap=2}
Race{actualTime=92, actualLap=2}
Race{actualTime=107, actualLap=2}
Race{actualTime=122, actualLap=3}
Race{actualTime=137, actualLap=3}
Race{actualTime=152, actualLap=3}
Race{actualTime=167, actualLap=3}
Race{actualTime=182, actualLap=4}
Race{actualTime=197, actualLap=4}
Race{actualTime=212, actualLap=4}
Race{actualTime=227, actualLap=4}
Race{actualTime=242, actualLap=5}
Race{actualTime=257, actualLap=5}
Race{actualTime=272, actualLap=5}
Race{actualTime=287, actualLap=5}
Race{actualTime=302, actualLap=6}
Race{actualTime=317, actualLap=6}
Race{actualTime=332, actualLap=6}
Race{actualTime=347, actualLap=6}
Race{actualTime=362, actualLap=7}
Race{actualTime=377, actualLap=7}
Race{actualTime=392, actualLap=7}
Race{actualTime=407, actualLap=7}
Race{actualTime=422, actualLap=8}
Race{actualTime=437, actualLap=8}
Race{actualTime=452, actualLap=8}
Race{actualTime=467, actualLap=8}
Race{actualTime=482, actualLap=9}
Race{actualTime=497, actualLap=9}
Race{actualTime=512, actualLap=9}
Race{actualTime=527, actualLap=9}
Race{actualTime=542, actualLap=10}
Race{actualTime=557, actualLap=10}
Race{actualTime=572, actualLap=10}
Race{actualTime=587, actualLap=10}
Race{actualTime=602, actualLap=11}
Race{actualTime=617, actualLap=11}
Race{actualTime=632, actualLap=11}
Race{actualTime=647, actualLap=11}
Race{actualTime=662, actualLap=12}
Race{actualTime=677, actualLap=12}
Race{actualTime=692, actualLap=12}
Race{actualTime=707, actualLap=12}
Race{actualTime=722, actualLap=13}
Race{actualTime=737, actualLap=13}
Race{actualTime=752, actualLap=13}
Race{actualTime=767, actualLap=13}
Race{actualTime=782, actualLap=14}
Race{actualTime=797, actualLap=14}
Race{actualTime=812, actualLap=14}
Race{actualTime=827, actualLap=14}
Race{actualTime=842, actualLap=15}
Race{actualTime=857, actualLap=15}
Race{actualTime=872, actualLap=15}
Race{actualTime=887, actualLap=15}
Race{actualTime=902, actualLap=16}
Race{actualTime=917, actualLap=16}
Race{actualTime=932, actualLap=16}
Race{actualTime=947, actualLap=16}
Race{actualTime=962, actualLap=17}
Race{actualTime=977, actualLap=17}
Race{actualTime=992, actualLap=17}
Race{actualTime=1007, actualLap=17}
Race{actualTime=1022, actualLap=18}
Race{actualTime=1037, actualLap=18}
Race{actualTime=1052, actualLap=18}
Race{actualTime=1067, actualLap=18}
Race{actualTime=1082, actualLap=19}
Race{actualTime=1097, actualLap=19}
Race{actualTime=1112, actualLap=19}
Race{actualTime=1127, actualLap=19}
Race{actualTime=1142, actualLap=20}
Race{actualTime=1158, actualLap=20}
Race{actualTime=1173, actualLap=20}
Race{actualTime=1188, actualLap=20}
Race{actualTime=1203, actualLap=21}
Race{actualTime=1218, actualLap=21}
Race{actualTime=1233, actualLap=21}
Race{actualTime=1248, actualLap=21}
Race{actualTime=1263, actualLap=22}
Race{actualTime=1278, actualLap=22}
Race{actualTime=1293, actualLap=22}
Race{actualTime=1308, actualLap=22}
Race{actualTime=1323, actualLap=23}
Race{actualTime=1338, actualLap=23}
Race{actualTime=1353, actualLap=23}
Race{actualTime=1368, actualLap=23}
Race{actualTime=1383, actualLap=24}
Race{actualTime=1398, actualLap=24}
Race{actualTime=1413, actualLap=24}
Race{actualTime=1428, actualLap=24}
Race{actualTime=1443, actualLap=25}
Race{actualTime=1458, actualLap=25}
Race{actualTime=1473, actualLap=25}
Race{actualTime=1488, actualLap=25}
Race{actualTime=1503, actualLap=26}
Race{actualTime=1518, actualLap=26}
Race{actualTime=1533, actualLap=26}
Race{actualTime=1548, actualLap=26}
Race{actualTime=1563, actualLap=27}
Race{actualTime=1578, actualLap=27}
Race{actualTime=1593, actualLap=27}
Race{actualTime=1608, actualLap=27}
Race{actualTime=1623, actualLap=28}
Race{actualTime=1638, actualLap=28}
Race{actualTime=1653, actualLap=28}
Race{actualTime=1668, actualLap=28}
Race{actualTime=1683, actualLap=29}
Race{actualTime=1698, actualLap=29}
Race{actualTime=1713, actualLap=29}
Race{actualTime=1728, actualLap=29}
Race{actualTime=1743, actualLap=30}
Race{actualTime=1758, actualLap=30}
Race{actualTime=1773, actualLap=30}
Race{actualTime=1788, actualLap=30}
Race{actualTime=1803, actualLap=31}
Race{actualTime=1818, actualLap=31}
Race{actualTime=1833, actualLap=31}
Race{actualTime=1848, actualLap=31}
Race{actualTime=1863, actualLap=32}
Race{actualTime=1878, actualLap=32}
Race{actualTime=1893, actualLap=32}
Race{actualTime=1908, actualLap=32}
Race{actualTime=1923, actualLap=33}
Race{actualTime=1938, actualLap=33}
Race{actualTime=1953, actualLap=33}
Race{actualTime=1968, actualLap=33}
Race{actualTime=1983, actualLap=34}
Race{actualTime=1998, actualLap=34}
Race{actualTime=2013, actualLap=34}
