Bolid{tempEngine=101.36639475362807, tirePressure=22.38213502742296, oilPressure=305.11154419830586}
Bolid{tempEngine=98.89768912009983, tirePressure=23.650113179115955, oilPressure=322.8202234237874}
Bolid{tempEngine=103.34363886840568, tirePressure=19.772882588653854, oilPressure=231.0671354468037}
Bolid{tempEngine=97.61541149550318, tirePressure=19.469738410805352, oilPressure=234.18129753362638}
Bolid{tempEngine=93.4014083195894, tirePressure=21.285659035752683, oilPressure=378.36911137746165}
Bolid{tempEngine=97.26110102745, tirePressure=19.084003129377656, oilPressure=309.6174610519812}
Bolid{tempEngine=93.39996438297632, tirePressure=20.45590142940281, oilPressure=351.4219995176909}
Bolid{tempEngine=101.5995138508875, tirePressure=19.244641942382128, oilPressure=398.7522960695973}
Bolid{tempEngine=91.39810286766122, tirePressure=22.103895295191094, oilPressure=335.43858629981275}
Bolid{tempEngine=96.58919957281759, tirePressure=23.98349481986468, oilPressure=321.93406100998277}
Bolid{tempEngine=100.36863694120804, tirePressure=19.40092856767464, oilPressure=297.4947312111475}
Bolid{tempEngine=97.82975118506985, tirePressure=19.824084976544345, oilPressure=250.87283385811895}
Bolid{tempEngine=103.41701899475271, tirePressure=20.747335008459174, oilPressure=248.25148917628215}
Bolid{tempEngine=94.44442552378283, tirePressure=19.225731307538297, oilPressure=395.9854749345069}
Bolid{tempEngine=96.19240114390873, tirePressure=21.941015306434956, oilPressure=306.55995566511103}
Bolid{tempEngine=91.57471393602155, tirePressure=19.94197457205683, oilPressure=407.72355545566165}
Bolid{tempEngine=98.58358557840968, tirePressure=22.91361805760655, oilPressure=263.4331455472172}
Bolid{tempEngine=103.15987486683514, tirePressure=19.801505452619093, oilPressure=202.35070049622504}
Bolid{tempEngine=93.24304855272639, tirePressure=20.93952622711696, oilPressure=217.63149767941093}
Bolid{tempEngine=102.63010766378376, tirePressure=21.012983009433942, oilPressure=197.02447706821164}
Bolid{tempEngine=100.61946327052021, tirePressure=23.65542605226354, oilPressure=191.2287152713276}
Bolid{tempEngine=97.58727106164942, tirePressure=23.263574538474423, oilPressure=362.0473908947146}
Bolid{tempEngine=97.12299755494884, tirePressure=23.561691371705177, oilPressure=331.0870907413729}
Bolid{tempEngine=92.11204923365152, tirePressure=22.99218473508399, oilPressure=201.90895199727794}
Bolid{tempEngine=100.8895611821469, tirePressure=23.781692774297422, oilPressure=407.00368851415055}
Bolid{tempEngine=101.8649551796968, tirePressure=20.304509416760457, oilPressure=213.98670295669953}
Bolid{tempEngine=97.38861621603498, tirePressure=20.61001418317058, oilPressure=226.71676349556174}
Bolid{tempEngine=99.28755058541448, tirePressure=21.920597094509944, oilPressure=224.1089377748114}
Bolid{tempEngine=94.62466456085893, tirePressure=22.236831037848674, oilPressure=350.876235770301}
Bolid{tempEngine=97.35988274592194, tirePressure=22.089487152299043, oilPressure=363.35898675175224}
Bolid{tempEngine=95.65826343631907, tirePressure=23.290208421670428, oilPressure=284.43329007731984}
Bolid{tempEngine=90.38938321055846, tirePressure=19.615269675644505, oilPressure=238.4684327100993}
Bolid{tempEngine=98.41336159660669, tirePressure=19.61180657762271, oilPressure=239.64377782385168}
Bolid{tempEngine=90.10949787224556, tirePressure=22.408892243191904, oilPressure=252.56203890936797}
Bolid{tempEngine=95.93744383651848, tirePressure=21.241698448903897, oilPressure=258.6919357115331}
Bolid{tempEngine=94.02389275125064, tirePressure=19.234275390571636, oilPressure=256.5036784374603}
Bolid{tempEngine=93.7662988234119, tirePressure=23.685360583000595, oilPressure=263.10975956026556}
Bolid{tempEngine=101.44774217020273, tirePressure=19.19950204432647, oilPressure=383.9063409701459}
Bolid{tempEngine=100.84364212313068, tirePressure=22.17616088645582, oilPressure=333.19141621745854}
Bolid{tempEngine=103.51957927777862, tirePressure=19.980970189158075, oilPressure=192.8507927564252}
Bolid{tempEngine=97.99171167680466, tirePressure=23.225991530919234, oilPressure=287.83926826702594}
Bolid{tempEngine=91.97576103021119, tirePressure=23.69700888831266, oilPressure=291.9597298653569}
Bolid{tempEngine=96.92381793536725, tirePressure=20.69096605584543, oilPressure=341.2229697297471}
Bolid{tempEngine=98.62747590907209, tirePressure=19.239557717918515, oilPressure=373.4696672145177}
Bolid{tempEngine=96.52235583851014, tirePressure=19.712196136369325, oilPressure=291.19704681581163}
Bolid{tempEngine=102.03352775209096, tirePressure=19.785210578688993, oilPressure=330.3659197895861}
Bolid{tempEngine=90.89843838078933, tirePressure=20.727775131020643, oilPressure=201.91154966582036}
Bolid{tempEngine=96.89819305232596, tirePressure=23.214876181524605, oilPressure=251.55279242045216}
Bolid{tempEngine=96.5394741800021, tirePressure=23.85301297930392, oilPressure=358.7197893151196}
Bolid{tempEngine=91.92436541752342, tirePressure=20.646202806436385, oilPressure=398.831538064003}
Bolid{tempEngine=96.54677482759209, tirePressure=21.799292861740994, oilPressure=312.13209497319525}
Bolid{tempEngine=103.51561901433925, tirePressure=22.950060896603773, oilPressure=315.5450166679927}
Bolid{tempEngine=97.22356948590595, tirePressure=23.368035371989254, oilPressure=408.4206678228666}
Bolid{tempEngine=95.15379190026948, tirePressure=21.78178537160149, oilPressure=226.07901431745262}
Bolid{tempEngine=98.13066357299891, tirePressure=20.674186708670522, oilPressure=350.7069284671329}
Bolid{tempEngine=97.64390785935875, tirePressure=19.73937868872207, oilPressure=372.94943814475516}
Bolid{tempEngine=101.26837197510403, tirePressure=23.70122162214829, oilPressure=205.24630866835815}
Bolid{tempEngine=102.40797629661961, tirePressure=20.189841535025426, oilPressure=388.8206544152735}
Bolid{tempEngine=97.51670301392717, tirePressure=20.002674907206966, oilPressure=309.49629602644626}
Bolid{tempEngine=97.61385874756328, tirePressure=20.78955287406632, oilPressure=351.5204629954373}
Bolid{tempEngine=99.30282965858476, tirePressure=23.38748869813774, oilPressure=216.7868225349117}
Bolid{tempEngine=90.33508449265544, tirePressure=21.294392915447865, oilPressure=238.61118615224098}
Bolid{tempEngine=99.7739039603677, tirePressure=20.27346310066515, oilPressure=295.22049314707243}
Bolid{tempEngine=101.71467502753174, tirePressure=19.942742525659085, oilPressure=196.70418869146434}
Bolid{tempEngine=101.13727938459718, tirePressure=22.814785870528677, oilPressure=271.84175999298367}
Bolid{tempEngine=90.463610692463, tirePressure=20.242959778645478, oilPressure=242.89545420752034}
Bolid{tempEngine=95.98753040218395, tirePressure=22.249516398077404, oilPressure=280.74529569935396}
Bolid{tempEngine=92.02175546059576, tirePressure=20.174568230561395, oilPressure=375.4328060147343}
Bolid{tempEngine=103.8812232405575, tirePressure=20.489796303199817, oilPressure=356.7335685998506}
Bolid{tempEngine=98.66485353975328, tirePressure=23.03195164611894, oilPressure=308.6546292438169}
Bolid{tempEngine=92.40166160793463, tirePressure=22.635928707663354, oilPressure=264.07489312566383}
Bolid{tempEngine=90.26931019232981, tirePressure=20.163540104584644, oilPressure=233.53402602072185}
Bolid{tempEngine=103.88104256082893, tirePressure=20.496461837100778, oilPressure=384.6732330009632}
Bolid{tempEngine=101.51677305322768, tirePressure=22.06035839555397, oilPressure=264.10052247408726}
Bolid{tempEngine=100.35921732389295, tirePressure=22.856835372048938, oilPressure=343.2300461192772}
Bolid{tempEngine=91.6532250571477, tirePressure=20.325759379190835, oilPressure=379.9074178174237}
Bolid{tempEngine=99.55473050695866, tirePressure=23.664761144283986, oilPressure=350.0415597159488}
Bolid{tempEngine=102.65345134996852, tirePressure=21.174653972039977, oilPressure=209.59533892724573}
Bolid{tempEngine=94.16317156209188, tirePressure=19.96843180295533, oilPressure=197.52040591274732}
Bolid{tempEngine=101.33879910325567, tirePressure=21.212195890810296, oilPressure=237.77389765371015}
