Race{actualTime=3481, actualLap=59}
Race{actualTime=3496, actualLap=59}
Race{actualTime=3511, actualLap=59}
Race{actualTime=3526, actualLap=59}
Race{actualTime=3541, actualLap=60}
Race{actualTime=3556, actualLap=60}
Race{actualTime=3571, actualLap=60}
Race{actualTime=3586, actualLap=60}
Race{actualTime=3601, actualLap=61}
Race{actualTime=3616, actualLap=61}
Race{actualTime=3631, actualLap=61}
Race{actualTime=3646, actualLap=61}
Race{actualTime=3661, actualLap=62}
Race{actualTime=3676, actualLap=62}
Race{actualTime=3691, actualLap=62}
Race{actualTime=3706, actualLap=62}
Race{actualTime=3721, actualLap=63}
Race{actualTime=3736, actualLap=63}
Race{actualTime=3751, actualLap=63}
Race{actualTime=3766, actualLap=63}
Race{actualTime=3781, actualLap=64}
Race{actualTime=3796, actualLap=64}
Race{actualTime=3811, actualLap=64}
Race{actualTime=3827, actualLap=64}
Race{actualTime=3842, actualLap=65}
Race{actualTime=3857, actualLap=65}
Race{actualTime=3872, actualLap=65}
Race{actualTime=3887, actualLap=65}
Race{actualTime=3902, actualLap=66}
Race{actualTime=3917, actualLap=66}
Race{actualTime=3932, actualLap=66}
Race{actualTime=3947, actualLap=66}
Race{actualTime=3977, actualLap=67}
Race{actualTime=3992, actualLap=67}
Race{actualTime=4007, actualLap=67}
Race{actualTime=4022, actualLap=68}
Race{actualTime=4037, actualLap=68}
Race{actualTime=4052, actualLap=68}
Race{actualTime=4067, actualLap=68}
Race{actualTime=4082, actualLap=69}
Race{actualTime=4112, actualLap=69}
Race{actualTime=4127, actualLap=69}
Race{actualTime=4142, actualLap=70}
Race{actualTime=4157, actualLap=70}
Race{actualTime=5167, actualLap=87}
Race{actualTime=5182, actualLap=87}
Race{actualTime=5197, actualLap=87}
Race{actualTime=5212, actualLap=87}
Race{actualTime=5227, actualLap=88}
Race{actualTime=5242, actualLap=88}
Race{actualTime=5257, actualLap=88}
Race{actualTime=5272, actualLap=88}
Race{actualTime=5287, actualLap=89}
Race{actualTime=5317, actualLap=89}
Race{actualTime=5332, actualLap=89}
Race{actualTime=5347, actualLap=90}
Race{actualTime=5362, actualLap=90}
Race{actualTime=5377, actualLap=90}
Race{actualTime=5392, actualLap=90}
Race{actualTime=5407, actualLap=91}
Race{actualTime=5422, actualLap=91}
Race{actualTime=5437, actualLap=91}
Race{actualTime=5452, actualLap=91}
Race{actualTime=5467, actualLap=92}
Race{actualTime=5482, actualLap=92}
Race{actualTime=5497, actualLap=92}
Race{actualTime=5512, actualLap=92}
Race{actualTime=5527, actualLap=93}
Race{actualTime=5542, actualLap=93}
Race{actualTime=5557, actualLap=93}
Race{actualTime=5572, actualLap=93}
Race{actualTime=5587, actualLap=94}
Race{actualTime=5602, actualLap=94}
Race{actualTime=5617, actualLap=94}
Race{actualTime=5632, actualLap=94}
Race{actualTime=5648, actualLap=95}
Race{actualTime=5663, actualLap=95}
Race{actualTime=5678, actualLap=95}
Race{actualTime=5693, actualLap=95}
Race{actualTime=5708, actualLap=96}
Race{actualTime=5723, actualLap=96}
Race{actualTime=5738, actualLap=96}
Race{actualTime=5753, actualLap=96}
Race{actualTime=5768, actualLap=97}
Race{actualTime=5783, actualLap=97}
Race{actualTime=5798, actualLap=97}
Race{actualTime=5828, actualLap=98}
Race{actualTime=5843, actualLap=98}
Race{actualTime=5858, actualLap=98}
Race{actualTime=5873, actualLap=98}
Race{actualTime=5888, actualLap=99}
Race{actualTime=5903, actualLap=99}
Race{actualTime=5918, actualLap=99}
Race{actualTime=5933, actualLap=99}
Race{actualTime=5948, actualLap=100}
Race{actualTime=5963, actualLap=100}
Race{actualTime=5978, actualLap=100}
Race{actualTime=5993, actualLap=100}
Race{actualTime=6008, actualLap=101}
Race{actualTime=6023, actualLap=101}
Race{actualTime=6038, actualLap=101}
Race{actualTime=6053, actualLap=101}
Race{actualTime=6068, actualLap=102}
Race{actualTime=6083, actualLap=102}
Race{actualTime=6098, actualLap=102}
Race{actualTime=6113, actualLap=102}
Race{actualTime=6128, actualLap=103}
Race{actualTime=6143, actualLap=103}
Race{actualTime=6158, actualLap=103}
Race{actualTime=6173, actualLap=103}
Race{actualTime=6188, actualLap=104}
Race{actualTime=6203, actualLap=104}
Race{actualTime=6218, actualLap=104}
Race{actualTime=6233, actualLap=104}
Race{actualTime=6248, actualLap=105}
Race{actualTime=6263, actualLap=105}
Race{actualTime=6278, actualLap=105}
Race{actualTime=6293, actualLap=105}
Race{actualTime=6308, actualLap=106}
Race{actualTime=6323, actualLap=106}
Race{actualTime=6338, actualLap=106}
Race{actualTime=6353, actualLap=106}
Race{actualTime=6368, actualLap=107}
Race{actualTime=6383, actualLap=107}
Race{actualTime=6413, actualLap=107}
Race{actualTime=6428, actualLap=108}
Race{actualTime=6443, actualLap=108}
Race{actualTime=6458, actualLap=108}
Race{actualTime=6473, actualLap=108}
Race{actualTime=6488, actualLap=109}
Race{actualTime=6503, actualLap=109}
Race{actualTime=6518, actualLap=109}
Race{actualTime=6533, actualLap=109}
Race{actualTime=6548, actualLap=110}
Race{actualTime=6563, actualLap=110}
Race{actualTime=6578, actualLap=110}
Race{actualTime=6593, actualLap=110}
Race{actualTime=6608, actualLap=111}
Race{actualTime=6623, actualLap=111}
Race{actualTime=6638, actualLap=111}
Race{actualTime=6653, actualLap=111}
Race{actualTime=6668, actualLap=112}
Race{actualTime=6698, actualLap=112}
Race{actualTime=6713, actualLap=112}
Race{actualTime=6728, actualLap=113}
Race{actualTime=6743, actualLap=113}
Race{actualTime=6758, actualLap=113}
Race{actualTime=6773, actualLap=113}
Race{actualTime=6788, actualLap=114}
Race{actualTime=6803, actualLap=114}
Race{actualTime=6818, actualLap=114}
Race{actualTime=6833, actualLap=114}
Race{actualTime=6848, actualLap=115}
Race{actualTime=6863, actualLap=115}
Race{actualTime=6878, actualLap=115}
Race{actualTime=6893, actualLap=115}
Race{actualTime=6908, actualLap=116}
Race{actualTime=6923, actualLap=116}
Race{actualTime=6938, actualLap=116}
Race{actualTime=6953, actualLap=116}
Race{actualTime=6968, actualLap=117}
Race{actualTime=6983, actualLap=117}
Race{actualTime=6998, actualLap=117}
Race{actualTime=7013, actualLap=117}
Race{actualTime=7028, actualLap=118}
Race{actualTime=7396, actualLap=124}
Race{actualTime=7411, actualLap=124}
Race{actualTime=7441, actualLap=125}
Race{actualTime=7456, actualLap=125}
Race{actualTime=7471, actualLap=125}
Race{actualTime=7486, actualLap=125}
Race{actualTime=7501, actualLap=126}
Race{actualTime=7516, actualLap=126}
